TITLE,ARTIST,ID
(Sittin' On) The Dock Of The Bay,Otis Redding,3zBhihYUHBmGd2bcQIobrF
(Something Inside) So Strong,Labi Siffre,2z8PSS00q39tUuVjYfTO67
1234,Feist,2CzWeyC9zlDpIOZPUUKrBW
1812 Overture,Pyotr Ilyich Tchaikovsky,4t8S0cAnJQhrcLJ8TbUH7G
1901,Phoenix,3FM33HqRlV7J1QJoPOnd2u
22,Taylor Swift,3bIxTsfeNMO7Nt2J3EUKrA
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P
7 Rings,Ariana Grande,6ocbgoVGwYJhOv1GgI9NsF
88 Lines About 44 Women,The Nails,6YSF0u64K0xreRh1uOJuPw
A Little Love,Celeste,7eTonpb9lXgerPaW6I1VnP
A Nice Cup Of Tea,Binnie Hale,5n4mnUBPGPH6N81g9pI6NH
A Sign Of The Times,Petula Clark,6EdGkH1mk7dKIgc3CKgo7F
AKA...What A Life!,Noel Gallagher's High Flying Birds,5mljJfOTZR3nF4ExmRLTjv
Adiemus,Karl Jenkins,54CAG8n70kKVbFV6l1zF4G
Africa,Toto,2374M0fQpWi3dLnB54qaLX
After Light,Rustie,5yrHZWuyrOrc4iWnDevono
After Midnight,Eric Clapton,27mdmXNcO0gNpXlrWi9DPZ
Ain't Nothing Like The Real Thing,Marvin Gaye & Tammi Terrell,3UbNeYyyTnDhYU37Q3w2Jy
Ain't That A Shame,Fats Domino,4ZfQwNx3FlCN07cnUvekh3
Air on a G String,Johann Sebastian Bach,4cJQmBaioAZrtsAtulYZ6f
Ali in the Jungle,The Hours,3kr2i1P9eQZitASv83V8zh
Alison,Elvis Costello,1v98rfd0an913AzHvMNG8a
All Around The World,Oasis,6ZYgoD3c2aE4dD3yVFWV51
All By Myself,Eric Carmen,0AQqrtK1pULuwZUXhwaaDz
All Goes Wrong,Chase & Status,4pfu1lEKJhRGTQf64cQPXd
All Right Now,Free,1gcESexgftSuLuML57Y69q
All Star,Smash Mouth,3cfOd4CMv2snFaKAnMdnvK
All Together Now,The Beatles,2ck8lFrYAch2GPtdhpTHe3
All You Need Is Love,The Beatles,68BTFws92cRztMS1oQ7Ewj
All of the Lights,Kanye West,22L7bfCiAkJo5xGSQgmiIO
Always On My Mind,Willie Nelson,2xYQTU2bbg6WVAmpY1eae4
Am I Wrong,Anderson .Paak,1UjyF6okUHhnVxaLV8ojsA
American Woman,The Guess Who,3LQPTJEqOfljGBxmpgUnoC
Angel,Sarah McLachlan,3xZMPZQYETEn4hjor3TR1A
Animals,Maroon 5,2bL2gyO6kBdLkNSkxXNh6x
"Another Girl, Another Planet",The Only Ones,5TmQl8urbTlfZb8xKisSl0
Another One Bites The Dust,Queen,57JVGBtBLCfHw2muk5416J
Anticipation,Carly Simon,0rLRrCTqWVMgv1DpMBSezw
Any Way You Want It,Journey,71SvEDmsOwIWw1IozsZoMA
Anything Could Happen,Ellie Goulding,7C7yqFTM0ncyJ04GIKrxdV
Applause,Lady Gaga,5ka2ajep9OAvU5Sgduhiex
Are You Gonna Be My Girl,Jet,305WCRhhS10XUcH6AEwZk6
Are You Ready?,United Nations of Sound,6H4Y6O0KaHjUihdZIeYo1E
Aria,Yanni,4dGKKxPAhlFWMVoSPue3je
Around The Bend,The Asteroids Galaxy Tour,4tdGyzQ3WqygwxOEpbQ8eo
At The River,Groove Armada,0KIPa0YuQ5QFmlAqRyXNd9
Awake,Godsmack,6xXlurslWqFuyqTCBlErzX
Baba O'Riley,The Who,3qiyyUfYe7CRYLucrPmulD
Baby Come Back,Player,2eRYuzlSOBk3HlMsCSOLPJ
Back To Life (However Do You Want Me),Soul II Soul,7ELuWpsuVCRBnOR9ZAZKDp
Bad Case of Loving You,Robert Palmer,75zVpdjXwmy6SLr2hDnJYo
