danceability,energy,valence,tempo,loudness,acousticness
0.769,0.3670000000000001,0.535,103.621,-11.226,0.684
0.682,0.375,0.226,82.18700000000003,-10.308,0.418
0.71,0.484,0.5760000000000001,109.951,-7.415,0.217
0.256,0.6970000000000001,0.124,102.631,-12.898,0.33
0.591,0.831,0.705,144.084,-5.647,0.0605
0.6579999999999999,0.7290000000000001,0.6679999999999999,104.007,-6.561,0.00215
0.818,0.8029999999999999,0.632,106.97,-4.282,0.034
0.778,0.317,0.327,140.048,-10.732,0.5920000000000001
0.799,0.716,0.975,148.692,-9.224,0.0414
0.333,0.281,0.265,145.621,-8.262,0.893
0.532,0.708,0.887,138.49,-9.162,0.551
0.447,0.927,0.104,119.034,-3.3,0.000297
0.6709999999999999,0.373,0.732,92.718,-18.064,0.257
0.331,0.695,0.115,95.908,-7.1,0.0048200000000000005
0.617,0.664,0.931,127.021,-11.701,0.0985
0.611,0.6890000000000001,0.81,93.565,-7.701,0.145
0.486,0.501,0.942,122.894,-8.57,0.767
0.6920000000000001,0.932,0.8440000000000001,141.033,-4.305,0.226
0.557,0.32,0.377,176.64700000000005,-10.792,0.7390000000000001
0.33,0.8140000000000001,0.297,82.131,-3.138,0.155
0.376,0.373,0.111,116.074,-9.184,0.8270000000000001
0.787,0.472,0.8240000000000001,120.059,-12.824000000000002,0.221
0.5870000000000001,0.431,0.778,95.937,-9.495,0.0722
0.4,0.48,0.653,103.436,-7.768,0.34600000000000003
0.531,0.8029999999999999,0.221,142.113,-3.284,0.0796
0.524,0.261,0.201,73.36,-13.868,0.755
0.7290000000000001,0.799,0.532,115.04,-7.377999999999999,0.0588
0.55,0.726,0.37,92.697,-8.51,0.146
0.279,0.742,0.328,189.868,-6.46,0.000185
0.325,0.838,0.449,156.507,-6.501,0.0327
0.933,0.528,0.7559999999999999,109.975,-6.472,0.112
0.61,0.297,0.5429999999999999,99.963,-14.956,0.838
0.7020000000000001,0.7809999999999999,0.382,102.997,-4.081,0.433
0.669,0.78,0.738,139.945,-4.287,0.0265
0.613,0.953,0.537,105.046,-3.435,0.00148
0.236,0.81,0.374,177.731,-4.519,0.006679999999999999
0.7040000000000001,0.907,0.7120000000000001,95.023,-6.408,0.11
0.489,0.7240000000000001,0.15,117.292,-8.367,0.313
0.677,0.748,0.746,146.03,-12.328,0.00701
0.74,0.517,0.698,139.917,-6.233,0.0183
0.6890000000000001,0.429,0.595,95.014,-9.301,0.233
0.644,0.451,0.443,149.381,-12.758,0.255
0.7759999999999999,0.78,0.6659999999999999,124.949,-4.374,0.0622
0.6729999999999999,0.902,0.5379999999999999,100.012,-2.392,0.0591
0.6990000000000001,0.7,0.3,102.023,-5.704,0.0109
0.563,0.784,0.387,98.011,-9.234,0.1
0.6729999999999999,0.809,0.964,123.018,-5.28,0.0107
0.92,0.654,0.847,117.046,-3.051,0.0236
0.35600000000000004,0.917,0.518,171.176,-6.006,0.0335
0.723,0.6559999999999999,0.414,119.019,-3.828,0.028
0.6579999999999999,0.394,0.968,79.707,-15.838,0.529
0.514,0.73,0.334,171.005,-5.934,0.00146
0.726,0.537,0.887,96.91,-8.896,0.316
0.38,0.0993,0.44,174.87400000000005,-20.567,0.914
0.762,0.6509999999999999,0.941,130.395,-13.34,0.00198
